NAME,DESCRIPTION,HTML_URL,WATCHERS_COUNT,STARGAZERS_COUNT,FORKS_COUNT
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,199028,199028,22909
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,186586,186586,33913
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,139585,139585,36090
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,132441,132441,21429
Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,120361,120361,45913
